Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,FIN,Finland,2011,All,Age_all,[All],11169,22.08709065,81.41138234,207.2835224
EU,Europe,FIN,Finland,2012,All,Age_all,[All],11099,21.45273209,78.45077007,205.0066393
EU,Europe,FIN,Finland,2013,All,Age_all,[All],10552,20.49807685,72.15437498,194.0072499
EU,Europe,FIN,Finland,2014,All,Age_all,[All],10337,19.72371158,69.24866787,189.2699484
EU,Europe,FIN,Finland,2015,All,Age_all,[All],10209,19.51933004,66.70907467,186.2574852
EU,Europe,FIN,Finland,2016,All,Age_all,[All],10183,18.8699874,64.91239722,185.3037208
EU,Europe,FIN,Finland,2017,All,Age_all,[All],9861,18.37339296,61.27149814,179.0235618
EU,Europe,FIN,Finland,2018,All,Age_all,[All],9453,17.33763733,57.96237159,171.388943
EU,Europe,FIN,Finland,2019,All,Age_all,[All],8630,15.99273563,51.68495871,156.2951211
EU,Europe,FRA,France,2011,All,Age_all,[All],34539,6.43630224,21.27684031,54.62918654
EU,Europe,FRA,France,2012,All,Age_all,[All],34729,6.21879768,20.77218239,54.67491286
EU,Europe,FRA,France,2013,All,Age_all,[All],33429,6.01207487,19.76706752,52.41152392
EU,Europe,FRA,France,2014,All,Age_all,[All],32727,6.00916606,18.82704567,51.0326888
EU,Europe,FRA,France,2015,All,Age_all,[All],33423,5.76366938,18.84487222,51.85623057
EU,Europe,FRA,France,2016,All,Age_all,[All],32470,5.60322215,17.99738707,50.21061862
EU,Europe,DEU,Germany,2011,All,Age_all,[All],127101,14.91221689,55.22383224,155.4196965
EU,Europe,DEU,Germany,2012,All,Age_all,[All],128171,14.73938053,54.35789607,156.4638035
EU,Europe,DEU,Germany,2013,All,Age_all,[All],128808,14.41087461,54.83553436,159.7210412
EU,Europe,DEU,Germany,2014,All,Age_all,[All],121166,13.95349373,50.51591853,149.6199796
EU,Europe,DEU,Germany,2015,All,Age_all,[All],128230,13.85970601,51.85743001,156.9779899
EU,Europe,DEU,Germany,2016,All,Age_all,[All],122274,13.42344212,48.61467971,148.4832742
EU,Europe,DEU,Germany,2017,All,Age_all,[All],125614,13.47396468,48.78246992,151.9701846
EU,Europe,DEU,Germany,2018,All,Age_all,[All],123975,12.98338838,47.48685969,149.537218
EU,Europe,DEU,Germany,2019,All,Age_all,[All],119082,12.6747701,44.72549475,143.3117765
EU,Europe,ITA,Italy,2011,All,Age_all,[All],74712,12.57453888,40.42075275,125.8212814
EU,Europe,ITA,Italy,2012,All,Age_all,[All],75098,12.24051376,39.28009318,126.1309151
EU,Europe,ITA,Italy,2013,All,Age_all,[All],71572,11.93467379,36.50284469,118.8233586
EU,Europe,ITA,Italy,2014,All,Age_all,[All],69653,11.63462342,34.46275274,114.5813216
EU,Europe,ITA,Italy,2015,All,Age_all,[All],73172,11.32609342,35.43984861,120.4862486
EU,Europe,ITA,Italy,2016,All,Age_all,[All],66868,10.81861174,31.92839772,110.2931874
EU,Europe,ITA,Italy,2017,All,Age_all,[All],67789,10.41923475,31.48617816,111.9799889
AS,Asia,KOR,Republic of Korea,2011,All,Age_all,[All],13593,5.28096785,20.69080241,27.12552337
AS,Asia,KOR,Republic of Korea,2012,All,Age_all,[All],14570,5.45241579,21.03566404,28.94012503
AS,Asia,KOR,Republic of Korea,2013,All,Age_all,[All],13574,5.09808193,18.52767381,26.84786689
AS,Asia,KOR,Republic of Korea,2014,All,Age_all,[All],14184,5.29862678,18.35544488,27.94152405
AS,Asia,KOR,Republic of Korea,2015,All,Age_all,[All],14724,5.33681292,18.07310752,28.89794496
AS,Asia,KOR,Republic of Korea,2016,All,Age_all,[All],14654,5.21815922,17.09492026,28.66982602
AS,Asia,KOR,Republic of Korea,2017,All,Age_all,[All],14257,4.99310065,15.75251522,27.82901441
AS,Asia,KOR,Republic of Korea,2018,All,Age_all,[All],14500,4.85241952,15.19083885,28.26462236
AS,Asia,KOR,Republic of Korea,2019,All,Age_all,[All],13699,4.6419979,13.72419504,26.68423722
EU,Europe,ESP,Spain,2011,All,Age_all,[All],34837,8.98066825,31.08424421,75.52711911
EU,Europe,ESP,Spain,2012,All,Age_all,[All],34751,8.62414692,29.86366663,74.30762416
EU,Europe,ESP,Spain,2013,All,Age_all,[All],33413,8.55824127,28.32327646,71.71212577
EU,Europe,ESP,Spain,2014,All,Age_all,[All],32564,8.22676401,27.04279419,70.09775261
